


################################################################################
################################################################################
			Nova Captura
2017-10-04 14:56:59.265384
2017-10-04 14:56:59.310386
2017-10-04 14:56:59.335388
2017-10-04 14:56:59.366390
2017-10-04 14:56:59.400392
2017-10-04 14:56:59.452395
2017-10-04 14:56:59.472396
2017-10-04 14:56:59.503397
2017-10-04 14:56:59.535399
2017-10-04 14:56:59.569401
2017-10-04 14:56:59.604403
2017-10-04 14:56:59.634405
2017-10-04 14:56:59.667407
2017-10-04 14:56:59.700409
2017-10-04 14:56:59.733411
2017-10-04 14:56:59.768413
2017-10-04 14:56:59.800414
2017-10-04 14:56:59.836416
2017-10-04 14:56:59.867418
2017-10-04 14:56:59.902420
2017-10-04 14:56:59.934422
2017-10-04 14:56:59.967424
2017-10-04 14:57:00.003426
2017-10-04 14:57:00.034428
2017-10-04 14:57:00.068430
2017-10-04 14:57:00.102432
2017-10-04 14:57:00.135434
2017-10-04 14:57:00.169436
2017-10-04 14:57:00.203437
2017-10-04 14:57:00.234439
2017-10-04 14:57:00.269441
2017-10-04 14:57:00.303443
2017-10-04 14:57:00.334445
2017-10-04 14:57:00.369447
2017-10-04 14:57:00.403449
2017-10-04 14:57:00.434451
2017-10-04 14:57:00.471453
2017-10-04 14:57:00.503455
2017-10-04 14:57:00.534456
2017-10-04 14:57:00.568458
2017-10-04 14:57:00.604460
2017-10-04 14:57:00.635462
2017-10-04 14:57:00.670464
2017-10-04 14:57:00.702466
2017-10-04 14:57:00.734468
2017-10-04 14:57:00.767470
2017-10-04 14:57:00.800472
2017-10-04 14:57:00.833474
2017-10-04 14:57:00.867475
2017-10-04 14:57:00.900477
2017-10-04 14:57:00.933479
2017-10-04 14:57:00.967481
2017-10-04 14:57:01.004483
2017-10-04 14:57:01.034485
2017-10-04 14:57:01.068487
2017-10-04 14:57:01.103489
2017-10-04 14:57:01.134491
2017-10-04 14:57:01.168493
2017-10-04 14:57:01.200495
2017-10-04 14:57:01.234496
2017-10-04 14:57:01.267498
2017-10-04 14:57:01.300500
2017-10-04 14:57:01.334502
2017-10-04 14:57:01.367504
2017-10-04 14:57:01.401506
2017-10-04 14:57:01.434508
2017-10-04 14:57:01.468510
2017-10-04 14:57:01.504512
2017-10-04 14:57:01.534514
2017-10-04 14:57:01.568516
2017-10-04 14:57:01.603518
2017-10-04 14:57:01.634519
2017-10-04 14:57:01.668521
2017-10-04 14:57:01.701523
2017-10-04 14:57:01.735525
2017-10-04 14:57:01.768527
2017-10-04 14:57:01.806529
2017-10-04 14:57:01.834531
2017-10-04 14:57:01.868533
2017-10-04 14:57:01.903535
2017-10-04 14:57:01.936537
2017-10-04 14:57:01.968538
2017-10-04 14:57:02.007541
2017-10-04 14:57:02.035542
2017-10-04 14:57:02.068544
2017-10-04 14:57:02.102546
2017-10-04 14:57:02.135548
2017-10-04 14:57:02.169550
2017-10-04 14:57:02.202552
2017-10-04 14:57:02.235554
2017-10-04 14:57:02.268556
2017-10-04 14:57:02.305558
2017-10-04 14:57:02.335559
2017-10-04 14:57:02.368561
2017-10-04 14:57:02.402563
2017-10-04 14:57:02.437565
2017-10-04 14:57:02.468567
2017-10-04 14:57:02.505569
2017-10-04 14:57:02.535571
2017-10-04 14:57:02.569573
2017-10-04 14:57:02.607575
2017-10-04 14:57:02.635577
2017-10-04 14:57:02.669579
2017-10-04 14:57:02.705581
2017-10-04 14:57:02.735582
2017-10-04 14:57:02.769584
2017-10-04 14:57:02.804586
2017-10-04 14:57:02.839588
2017-10-04 14:57:02.873590
2017-10-04 14:57:02.907592
2017-10-04 14:57:02.936594
2017-10-04 14:57:02.970596
2017-10-04 14:57:03.004598
2017-10-04 14:57:03.035599
2017-10-04 14:57:03.070601
2017-10-04 14:57:03.106604
2017-10-04 14:57:03.138605
2017-10-04 14:57:03.171607
2017-10-04 14:57:03.204609
2017-10-04 14:57:03.238611
2017-10-04 14:57:03.272613
2017-10-04 14:57:03.303615
2017-10-04 14:57:03.336617
2017-10-04 14:57:03.369619
2017-10-04 14:57:03.405621
2017-10-04 14:57:03.436622
2017-10-04 14:57:03.469624
2017-10-04 14:57:03.506626
2017-10-04 14:57:03.536628
2017-10-04 14:57:03.570630
2017-10-04 14:57:03.604632
2017-10-04 14:57:03.636634
2017-10-04 14:57:03.672636
2017-10-04 14:57:03.704638
2017-10-04 14:57:03.736640
2017-10-04 14:57:03.770642
2017-10-04 14:57:03.804643
2017-10-04 14:57:03.836645
2017-10-04 14:57:03.870647
2017-10-04 14:57:03.904649
2017-10-04 14:57:03.936651
2017-10-04 14:57:03.970653
2017-10-04 14:57:04.004655
2017-10-04 14:57:04.038657
2017-10-04 14:57:04.070659
2017-10-04 14:57:04.104661
2017-10-04 14:57:04.138663
2017-10-04 14:57:04.171664
